,agent,avg_reward,std_reward,step,test_id
0,ma2c_nc,-171.17160974010082,0.0,240,-1
1,ma2c_nc,-411.2324417523774,0.0,480,-1
2,ma2c_nc,-209.25999407323636,2.842170943040401e-14,720,-1
3,ma2c_nc,-529.3443584231762,1.1368683772161603e-13,900,-1
4,ma2c_nc,-473.61145610122816,0.0,1200,-1
5,ma2c_nc,-200.7665331979121,2.842170943040401e-14,1440,-1
6,ma2c_nc,-852.6602104161154,2.2737367544323206e-13,1680,-1
7,ma2c_nc,-261.10355506924543,5.684341886080802e-14,1920,-1
8,ma2c_nc,-604.1899114942023,1.1368683772161603e-13,2160,-1
9,ma2c_nc,-523.6257724507814,0.0,2400,-1
10,ma2c_nc,-738.6320163056861,1.1368683772161603e-13,2640,-1
11,ma2c_nc,-116.01947364552369,0.0,2880,-1
12,ma2c_nc,-603.6919679209666,1.1368683772161603e-13,3120,-1
13,ma2c_nc,-313.1293892077561,5.684341886080802e-14,3360,-1
14,ma2c_nc,-329.5582963780889,5.684341886080802e-14,3600,-1
15,ma2c_nc,-305.9281677894236,0.0,3840,-1
16,ma2c_nc,-712.7214247417317,1.1368683772161603e-13,4080,-1
17,ma2c_nc,-659.2902019901678,1.1368683772161603e-13,4320,-1
18,ma2c_nc,-107.11847220335912,1.4210854715202004e-14,4500,-1
19,ma2c_nc,-395.69297332277625,0.0,4740,-1
20,ma2c_nc,-700.2483894772727,0.0,4980,-1
21,ma2c_nc,-338.69467720639926,0.0,5220,-1
22,ma2c_nc,-881.1301796867994,0.0,5460,-1
23,ma2c_nc,-299.36306791081387,5.684341886080802e-14,5700,-1
24,ma2c_nc,-256.5592363119841,0.0,5940,-1
25,ma2c_nc,-113.95763635958521,1.4210854715202004e-14,6180,-1
26,ma2c_nc,-309.1256869679317,5.684341886080802e-14,6420,-1
27,ma2c_nc,-171.23689395875616,2.842170943040401e-14,6660,-1
28,ma2c_nc,-230.65801174866405,0.0,6900,-1
29,ma2c_nc,-815.0802752543491,0.0,7140,-1
30,ma2c_nc,-147.25249843040254,2.842170943040401e-14,7380,-1
31,ma2c_nc,-197.23522435947626,2.842170943040401e-14,7620,-1
32,ma2c_nc,-262.97798566917254,0.0,7860,-1
33,ma2c_nc,-120.20106327346696,2.842170943040401e-14,8100,-1
34,ma2c_nc,-417.7246926520915,0.0,8340,-1
35,ma2c_nc,-240.38993564757305,5.684341886080802e-14,8580,-1
36,ma2c_nc,-119.26430669042408,0.0,8820,-1
37,ma2c_nc,-197.46261251506795,2.842170943040401e-14,9060,-1
38,ma2c_nc,-526.7493643484901,1.1368683772161603e-13,9300,-1
39,ma2c_nc,-170.5919146104376,0.0,9540,-1
40,ma2c_nc,-768.2659034885929,2.2737367544323206e-13,9780,-1
41,ma2c_nc,-594.7606782775184,1.1368683772161603e-13,9960,-1
42,ma2c_nc,-204.31093973301995,5.684341886080802e-14,10200,-1
43,ma2c_nc,-607.3930282652724,0.0,10440,-1
44,ma2c_nc,-435.4775490215233,5.684341886080802e-14,10680,-1
45,ma2c_nc,-481.9619447630993,1.1368683772161603e-13,10920,-1
46,ma2c_nc,-167.92045418224487,0.0,11160,-1
47,ma2c_nc,-103.45526140353992,0.0,11400,-1
48,ma2c_nc,-215.27411953566272,2.842170943040401e-14,11640,-1
49,ma2c_nc,-151.81140872985404,0.0,11880,-1
50,ma2c_nc,-306.2899915167828,0.0,12120,-1
51,ma2c_nc,-169.84968825782065,0.0,12360,-1
52,ma2c_nc,-306.36805467701976,5.684341886080802e-14,12600,-1
53,ma2c_nc,-832.4974217696288,0.0,12780,-1
54,ma2c_nc,-555.0317094221465,1.1368683772161603e-13,13020,-1
55,ma2c_nc,-172.65531002250785,5.684341886080802e-14,13200,-1
56,ma2c_nc,-146.92586809196763,2.842170943040401e-14,13380,-1
57,ma2c_nc,-146.4933214244663,0.0,13620,-1
58,ma2c_nc,-747.0787227563521,1.1368683772161603e-13,13860,-1
59,ma2c_nc,-164.6757608781962,0.0,14100,-1
60,ma2c_nc,-656.2859191766962,0.0,14340,-1
61,ma2c_nc,-687.911788438123,2.2737367544323206e-13,14580,-1
62,ma2c_nc,-170.67642408795166,0.0,14820,-1
63,ma2c_nc,-624.3424343667579,0.0,15060,-1
64,ma2c_nc,-622.9072712408123,1.1368683772161603e-13,15360,-1
65,ma2c_nc,-786.3106077438304,1.1368683772161603e-13,15660,-1
66,ma2c_nc,-140.82286845607294,0.0,15900,-1
67,ma2c_nc,-398.4889778905619,5.684341886080802e-14,16140,-1
68,ma2c_nc,-462.59909880527545,0.0,16380,-1
69,ma2c_nc,-793.6434847960762,1.1368683772161603e-13,16620,-1
70,ma2c_nc,-839.52486513431,0.0,16920,-1
71,ma2c_nc,-406.2028773329256,5.684341886080802e-14,17160,-1
72,ma2c_nc,-264.79068191171467,5.684341886080802e-14,17400,-1
73,ma2c_nc,-142.21485072561245,5.684341886080802e-14,17640,-1
74,ma2c_nc,-711.174570092044,1.1368683772161603e-13,17880,-1
75,ma2c_nc,-269.6164541920812,5.684341886080802e-14,18480,-1
76,ma2c_nc,-293.76776100711544,0.0,19020,-1
77,ma2c_nc,-254.55502412803645,0.0,19260,-1
78,ma2c_nc,-482.0648386347643,5.684341886080802e-14,19860,-1
79,ma2c_nc,-122.16678303673791,1.4210854715202004e-14,20460,-1
80,ma2c_nc,-168.6891022331902,0.0,20700,-1
81,ma2c_nc,-368.6697480724972,0.0,20940,-1
82,ma2c_nc,-294.07984010214153,0.0,21180,-1
83,ma2c_nc,-419.91899238641867,5.684341886080802e-14,21420,-1
84,ma2c_nc,-451.7521548232081,5.684341886080802e-14,21660,-1
85,ma2c_nc,-757.9748977111884,0.0,21900,-1
86,ma2c_nc,-129.25690475061847,2.842170943040401e-14,22140,-1
87,ma2c_nc,-434.8881977110685,5.684341886080802e-14,22380,-1
88,ma2c_nc,-409.6394793065956,0.0,22980,-1
89,ma2c_nc,-620.1373127369862,0.0,23220,-1
90,ma2c_nc,-632.3209989508485,1.1368683772161603e-13,23700,-1
91,ma2c_nc,-861.6555665686627,1.1368683772161603e-13,24300,-1
92,ma2c_nc,-565.9729265958471,0.0,24540,-1
